51040	Понедельник	001	001	007	4	20000
51041	Понедельник	003	003	006	1	30000
51042	Понедельник	004	003	004	3	33000
51043	Понедельник	004	005	001	2	36000
51044	Понедельник	004	004	006	1	30000
51045	Среда	002	002	005	3	30000
51046	Четверг	003	006	004	4	44000
51047	Четверг	004	006	002	1	28000
51048	Четверг	005	003	003	4	44000
51049	Пятница	002	004	005	1	10000
51050	Пятница	003	006	004	2	22000
51051	Пятница	003	003	001	2	36000
51052	Пятница	005	003	002	1	14000
51053	Суббота	003	002	007	2	10000
51054	Суббота	004	006	004	1	11000
51055	Суббота	005	005	004	2	22000
51056	Суббота	003	006	003	2	22000
